# TimeStep	RadGy_system	Hull_area	Hull_volume	Lx	Ly	Lz
3.0000e+08 1.5292e+02 6.5861e+05 4.5214e+07 4.4437e+02 5.1042e+02 5.0627e+02
3.0500e+08 1.5121e+02 6.6123e+05 4.5264e+07 4.5196e+02 5.1281e+02 4.8063e+02
3.1000e+08 1.5319e+02 6.5915e+05 4.5759e+07 4.8154e+02 4.4845e+02 5.0595e+02
3.1500e+08 1.5122e+02 6.2673e+05 4.1510e+07 4.1990e+02 4.7410e+02 4.8755e+02
3.2000e+08 1.5055e+02 6.2346e+05 4.1821e+07 4.3023e+02 4.5657e+02 4.7172e+02
3.2500e+08 1.5346e+02 6.6233e+05 4.5141e+07 4.6183e+02 4.4153e+02 5.3379e+02
3.3000e+08 1.5075e+02 6.3747e+05 4.1828e+07 4.8658e+02 4.3642e+02 5.3964e+02
3.3500e+08 1.4994e+02 6.5428e+05 4.4156e+07 4.5464e+02 4.1633e+02 5.5510e+02
3.4000e+08 1.5279e+02 6.4020e+05 4.4577e+07 4.5341e+02 4.4191e+02 5.1381e+02
3.4500e+08 1.5662e+02 6.8877e+05 4.8454e+07 4.1640e+02 4.4066e+02 5.1545e+02
3.5000e+08 1.5367e+02 6.6387e+05 4.5992e+07 4.8174e+02 5.1798e+02 4.9261e+02
3.5500e+08 1.5451e+02 6.5508e+05 4.5258e+07 4.9073e+02 4.5861e+02 4.9416e+02
3.6000e+08 1.5510e+02 6.7063e+05 4.7017e+07 4.4480e+02 4.5701e+02 4.9950e+02
3.6500e+08 1.5347e+02 6.4219e+05 4.3904e+07 4.4803e+02 4.7286e+02 4.8722e+02
3.7000e+08 1.5364e+02 6.8893e+05 4.7231e+07 4.8918e+02 4.5952e+02 5.0597e+02
3.7500e+08 1.5286e+02 6.5053e+05 4.3891e+07 4.4346e+02 4.8518e+02 4.7937e+02
3.8000e+08 1.5180e+02 6.0752e+05 3.9967e+07 4.0586e+02 4.4756e+02 4.8812e+02
3.8500e+08 1.5488e+02 6.3651e+05 4.3210e+07 4.1178e+02 4.3341e+02 4.9938e+02
3.9000e+08 1.5558e+02 6.3732e+05 4.3373e+07 4.0149e+02 4.3657e+02 4.9634e+02
3.9500e+08 1.5458e+02 6.6631e+05 4.5876e+07 4.4754e+02 4.3066e+02 5.0273e+02
4.0000e+08 1.5543e+02 6.5193e+05 4.4527e+07 4.0792e+02 4.2473e+02 5.2611e+02
