# Dist_from_COM	Sticker_Saturation
1.2472e+02 8.0000e-01
1.2741e+02 8.0000e-01
1.4313e+02 1.0000e+00
1.3672e+02 1.0000e+00
1.2913e+02 1.0000e+00
1.0969e+02 1.0000e+00
1.0742e+02 8.0000e-01
1.3016e+02 8.0000e-01
1.0743e+02 1.0000e+00
1.1760e+02 1.0000e+00
9.7577e+01 8.0000e-01
1.1847e+02 1.0000e+00
8.4637e+01 1.0000e+00
8.9174e+01 1.0000e+00
9.3697e+01 1.0000e+00
7.4019e+01 1.0000e+00
9.3063e+01 8.0000e-01
1.0114e+02 1.0000e+00
8.7335e+01 1.0000e+00
7.2535e+01 1.0000e+00
7.5188e+01 1.0000e+00
7.9380e+01 1.0000e+00
9.1007e+01 1.0000e+00
1.1493e+02 1.0000e+00
7.0215e+01 1.0000e+00
5.2228e+01 1.0000e+00
8.0052e+01 1.0000e+00
1.0863e+02 1.0000e+00
9.9447e+01 1.0000e+00
7.3490e+01 1.0000e+00
1.3577e+02 1.0000e+00
1.0317e+02 1.0000e+00
9.8117e+01 1.0000e+00
1.2246e+02 1.0000e+00
1.1668e+02 1.0000e+00
9.5693e+01 1.0000e+00
1.0432e+02 8.0000e-01
1.3491e+02 1.0000e+00
1.2507e+02 8.0000e-01
1.3787e+02 1.0000e+00
4.0251e+01 1.0000e+00
5.8956e+01 1.0000e+00
6.4085e+01 1.0000e+00
5.6231e+01 1.0000e+00
5.8690e+01 1.0000e+00
3.1814e+01 1.0000e+00
6.0235e+01 1.0000e+00
6.5280e+01 8.0000e-01
5.1053e+01 1.0000e+00
1.4268e+02 1.0000e+00
1.3128e+02 1.0000e+00
1.3443e+02 1.0000e+00
1.0624e+02 1.0000e+00
1.4352e+02 1.0000e+00
1.1963e+02 1.0000e+00
9.4580e+01 1.0000e+00
1.2194e+02 1.0000e+00
1.3996e+02 1.0000e+00
1.4834e+02 8.0000e-01
1.1648e+02 1.0000e+00
1.2256e+02 1.0000e+00
1.1773e+02 8.0000e-01
7.5326e+01 1.0000e+00
8.4993e+01 8.0000e-01
1.3228e+02 1.0000e+00
1.1943e+02 1.0000e+00
1.1666e+02 1.0000e+00
8.8971e+01 8.0000e-01
1.0287e+02 1.0000e+00
8.6211e+01 1.0000e+00
1.2195e+02 1.0000e+00
1.0974e+02 1.0000e+00
1.1125e+02 1.0000e+00
1.0242e+02 1.0000e+00
1.0197e+02 1.0000e+00
6.2461e+01 1.0000e+00
1.0583e+02 8.0000e-01
5.5457e+01 1.0000e+00
9.3706e+01 1.0000e+00
1.2404e+02 1.0000e+00
9.9465e+01 1.0000e+00
5.8396e+01 8.0000e-01
1.1190e+02 1.0000e+00
1.3681e+02 1.0000e+00
8.9419e+01 1.0000e+00
1.0387e+02 1.0000e+00
8.5651e+01 1.0000e+00
2.7415e+01 1.0000e+00
7.4791e+01 8.0000e-01
7.7353e+01 1.0000e+00
8.4658e+01 8.0000e-01
7.4681e+01 8.0000e-01
1.2943e+02 1.0000e+00
1.0418e+02 1.0000e+00
1.3052e+02 1.0000e+00
2.8468e+01 8.0000e-01
8.4898e+01 1.0000e+00
1.1003e+02 8.0000e-01
4.6205e+01 1.0000e+00
6.0173e+01 1.0000e+00
7.0247e+01 1.0000e+00
9.7825e+01 1.0000e+00
8.6174e+01 1.0000e+00
5.6525e+01 1.0000e+00
8.2095e+01 8.0000e-01
1.1474e+02 1.0000e+00
8.1704e+01 1.0000e+00
8.1301e+01 1.0000e+00
1.0439e+02 1.0000e+00
1.1302e+02 1.0000e+00
9.2160e+01 1.0000e+00
8.2107e+01 1.0000e+00
1.1471e+02 8.0000e-01
1.1513e+02 1.0000e+00
1.1283e+02 1.0000e+00
1.1890e+02 1.0000e+00
9.2163e+01 1.0000e+00
7.7139e+01 1.0000e+00
8.8157e+01 8.0000e-01
9.0567e+01 1.0000e+00
1.3428e+02 1.0000e+00
1.0600e+02 8.0000e-01
8.6668e+01 1.0000e+00
1.0363e+02 8.0000e-01
9.7692e+01 1.0000e+00
1.2617e+02 6.0000e-01
6.7540e+01 1.0000e+00
1.2339e+02 1.0000e+00
1.1929e+02 1.0000e+00
1.3075e+02 1.0000e+00
1.2563e+02 1.0000e+00
1.3306e+02 8.0000e-01
1.3926e+02 1.0000e+00
9.9885e+01 1.0000e+00
8.2095e+01 1.0000e+00
1.5445e+02 8.0000e-01
5.3421e+01 1.0000e+00
4.4898e+01 1.0000e+00
1.1239e+02 1.0000e+00
1.0365e+02 1.0000e+00
1.0344e+02 1.0000e+00
1.1482e+02 1.0000e+00
1.1425e+02 1.0000e+00
8.2099e+01 1.0000e+00
1.0274e+02 1.0000e+00
1.1263e+02 8.0000e-01
7.3332e+01 1.0000e+00
1.0335e+02 1.0000e+00
1.0428e+02 1.0000e+00
1.0039e+02 1.0000e+00
8.0854e+01 1.0000e+00
6.9361e+01 1.0000e+00
1.0811e+02 1.0000e+00
1.2155e+02 1.0000e+00
1.0821e+02 1.0000e+00
8.5681e+01 1.0000e+00
1.2150e+02 8.0000e-01
1.1949e+02 1.0000e+00
9.2864e+01 1.0000e+00
1.0986e+02 1.0000e+00
1.1569e+02 1.0000e+00
9.3354e+01 1.0000e+00
9.4695e+01 1.0000e+00
1.1646e+02 1.0000e+00
1.1282e+02 1.0000e+00
1.1257e+02 1.0000e+00
7.3056e+01 1.0000e+00
1.3726e+02 1.0000e+00
1.3765e+02 8.0000e-01
4.5948e+01 1.0000e+00
9.5446e+01 6.0000e-01
1.2790e+02 6.0000e-01
8.7541e+01 1.0000e+00
9.2814e+01 1.0000e+00
9.6722e+01 8.0000e-01
7.5450e+01 1.0000e+00
1.0821e+02 1.0000e+00
9.6010e+01 1.0000e+00
8.3582e+01 1.0000e+00
8.5540e+01 1.0000e+00
1.0450e+02 1.0000e+00
7.5846e+01 1.0000e+00
1.0643e+02 8.0000e-01
9.6687e+01 8.0000e-01
1.1181e+02 1.0000e+00
1.1067e+02 1.0000e+00
9.7850e+01 1.0000e+00
1.3019e+02 1.0000e+00
1.1793e+02 1.0000e+00
1.3927e+02 1.0000e+00
1.6319e+02 1.0000e+00
1.2545e+02 8.0000e-01
1.0169e+02 1.0000e+00
1.1890e+02 8.0000e-01
7.1434e+01 8.0000e-01
1.1243e+02 1.0000e+00
1.1876e+02 1.0000e+00
1.2920e+02 8.0000e-01
1.1210e+02 1.0000e+00
1.2090e+02 8.0000e-01
1.1420e+02 1.0000e+00
1.0388e+02 1.0000e+00
1.2577e+02 1.0000e+00
1.4019e+02 1.0000e+00
1.3647e+02 1.0000e+00
8.5104e+01 1.0000e+00
1.2863e+02 1.0000e+00
1.2488e+02 1.0000e+00
1.0252e+02 1.0000e+00
8.6829e+01 1.0000e+00
1.3161e+02 1.0000e+00
1.2462e+02 8.0000e-01
1.3229e+02 1.0000e+00
1.2553e+02 8.0000e-01
8.9283e+01 8.0000e-01
1.2521e+02 8.0000e-01
9.1339e+01 1.0000e+00
8.3802e+01 1.0000e+00
1.0786e+02 1.0000e+00
1.2350e+02 1.0000e+00
1.4349e+02 1.0000e+00
1.1534e+02 8.0000e-01
1.2585e+02 1.0000e+00
9.6103e+01 1.0000e+00
7.3053e+01 1.0000e+00
8.8878e+01 8.0000e-01
7.0698e+01 1.0000e+00
7.7863e+01 1.0000e+00
6.5744e+01 1.0000e+00
1.3310e+02 1.0000e+00
7.0420e+01 8.0000e-01
1.0660e+02 1.0000e+00
1.1960e+02 1.0000e+00
8.2427e+01 8.0000e-01
8.4946e+01 1.0000e+00
6.3033e+01 1.0000e+00
1.0533e+02 1.0000e+00
1.0965e+02 1.0000e+00
7.2321e+01 1.0000e+00
1.2320e+02 1.0000e+00
1.0535e+02 1.0000e+00
6.0547e+01 1.0000e+00
1.2201e+02 1.0000e+00
7.2017e+01 1.0000e+00
1.0385e+02 1.0000e+00
6.5102e+01 1.0000e+00
1.1845e+02 1.0000e+00
6.7624e+01 1.0000e+00
6.3725e+01 1.0000e+00
5.6811e+01 1.0000e+00
5.8662e+01 1.0000e+00
1.2146e+02 1.0000e+00
6.8659e+01 1.0000e+00
4.6317e+01 1.0000e+00
3.1198e+01 1.0000e+00
1.0497e+02 1.0000e+00
1.2551e+02 1.0000e+00
8.7757e+01 8.0000e-01
3.1701e+01 1.0000e+00
1.1865e+02 8.0000e-01
1.4110e+02 1.0000e+00
1.2380e+02 1.0000e+00
1.0762e+02 1.0000e+00
1.5135e+02 8.0000e-01
1.4643e+02 1.0000e+00
1.1552e+02 1.0000e+00
8.6766e+01 1.0000e+00
1.1857e+02 1.0000e+00
1.2512e+02 1.0000e+00
1.1461e+02 1.0000e+00
7.7440e+01 1.0000e+00
5.8878e+01 8.0000e-01
4.6826e+01 8.0000e-01
9.9580e+01 1.0000e+00
1.0593e+02 1.0000e+00
1.1970e+02 1.0000e+00
1.0044e+02 1.0000e+00
1.0441e+02 1.0000e+00
1.0998e+02 1.0000e+00
1.2080e+02 1.0000e+00
1.0115e+02 1.0000e+00
9.3076e+01 1.0000e+00
9.3355e+01 1.0000e+00
1.2074e+02 1.0000e+00
1.3396e+02 8.0000e-01
9.5025e+01 1.0000e+00
1.0353e+02 1.0000e+00
7.2083e+01 1.0000e+00
6.3535e+01 1.0000e+00
5.9207e+01 1.0000e+00
9.0580e+01 1.0000e+00
1.1415e+02 1.0000e+00
6.9713e+01 1.0000e+00
7.7826e+01 1.0000e+00
9.6982e+01 1.0000e+00
1.1430e+02 8.0000e-01
1.2362e+02 8.0000e-01
1.0492e+02 1.0000e+00
1.1048e+02 1.0000e+00
1.3615e+02 8.0000e-01
1.3021e+02 1.0000e+00
9.3330e+01 1.0000e+00
7.2011e+01 1.0000e+00
1.4508e+02 1.0000e+00
1.2646e+02 1.0000e+00
1.2977e+02 1.0000e+00
7.7800e+01 1.0000e+00
6.2197e+01 1.0000e+00
1.0098e+02 1.0000e+00
1.2194e+02 1.0000e+00
1.1243e+02 1.0000e+00
7.3847e+01 1.0000e+00
6.7003e+01 1.0000e+00
8.2666e+01 1.0000e+00
1.0648e+02 6.0000e-01
1.1651e+02 8.0000e-01
1.1577e+02 1.0000e+00
4.2247e+01 1.0000e+00
1.1210e+02 1.0000e+00
9.2484e+01 1.0000e+00
5.0486e+01 8.0000e-01
1.0842e+02 1.0000e+00
4.4857e+01 1.0000e+00
1.0316e+02 1.0000e+00
9.1062e+01 1.0000e+00
8.8904e+01 1.0000e+00
8.8167e+01 1.0000e+00
7.0893e+01 1.0000e+00
8.7609e+01 8.0000e-01
1.0350e+02 1.0000e+00
7.3976e+01 1.0000e+00
7.0785e+01 8.0000e-01
8.7741e+01 1.0000e+00
1.2032e+02 1.0000e+00
1.0788e+02 1.0000e+00
6.0379e+01 8.0000e-01
8.0382e+01 1.0000e+00
6.2158e+01 1.0000e+00
1.1993e+02 1.0000e+00
7.3691e+01 1.0000e+00
9.5446e+01 1.0000e+00
7.8783e+01 1.0000e+00
9.2484e+01 1.0000e+00
9.8415e+01 1.0000e+00
6.8687e+01 1.0000e+00
4.1311e+01 1.0000e+00
8.3587e+01 1.0000e+00
1.1803e+02 1.0000e+00
1.0994e+02 8.0000e-01
1.0981e+02 1.0000e+00
1.3470e+02 1.0000e+00
1.1450e+02 1.0000e+00
9.4945e+01 8.0000e-01
1.2878e+02 1.0000e+00
1.1357e+02 1.0000e+00
9.2945e+01 1.0000e+00
1.0630e+02 1.0000e+00
8.9491e+01 1.0000e+00
6.0604e+01 1.0000e+00
1.2555e+02 1.0000e+00
1.2426e+02 8.0000e-01
1.1935e+02 1.0000e+00
1.0561e+02 1.0000e+00
9.4958e+01 8.0000e-01
1.3686e+02 8.0000e-01
1.3976e+02 1.0000e+00
1.0382e+02 1.0000e+00
1.3355e+02 1.0000e+00
1.3459e+02 8.0000e-01
1.4228e+02 1.0000e+00
1.1242e+02 1.0000e+00
1.2117e+02 1.0000e+00
1.1245e+02 6.0000e-01
1.3283e+02 1.0000e+00
1.4390e+02 1.0000e+00
1.2013e+02 1.0000e+00
9.4671e+01 1.0000e+00
1.0922e+02 1.0000e+00
7.5142e+01 1.0000e+00
6.7470e+01 1.0000e+00
