# RadGy	HullArea	GeodesicLength
1.2867e+02 4.8888e+05 6.5640e+01
1.3138e+02 4.8370e+05 6.4641e+01
1.2976e+02 4.6305e+05 6.5634e+01
1.3013e+02 4.6366e+05 6.2930e+01
1.2966e+02 4.4087e+05 6.1927e+01
1.3024e+02 4.7830e+05 6.2927e+01
1.2861e+02 4.5967e+05 6.2905e+01
1.3000e+02 4.6685e+05 6.0907e+01
1.2847e+02 4.4891e+05 5.9203e+01
1.3163e+02 5.0000e+05 6.6612e+01
1.2955e+02 4.6912e+05 6.0869e+01
1.3207e+02 5.0742e+05 6.6586e+01
1.3003e+02 4.9117e+05 6.0860e+01
1.2982e+02 4.6563e+05 6.0860e+01
1.3154e+02 4.7572e+05 6.3648e+01
1.3034e+02 4.8232e+05 6.3295e+01
1.3109e+02 4.8300e+05 6.0589e+01
1.2976e+02 4.7424e+05 6.2828e+01
1.3002e+02 4.4419e+05 6.4497e+01
1.2953e+02 4.5020e+05 5.6256e+01
1.3075e+02 4.7242e+05 6.2848e+01
1.2993e+02 4.8535e+05 6.0836e+01
1.3135e+02 4.7277e+05 5.8734e+01
1.3264e+02 4.9109e+05 6.0318e+01
1.3173e+02 4.7340e+05 6.2864e+01
1.3010e+02 4.6092e+05 6.1358e+01
1.3144e+02 4.7607e+05 6.2837e+01
1.3118e+02 4.7050e+05 6.2792e+01
1.2976e+02 4.7388e+05 6.6450e+01
1.3098e+02 4.9285e+05 6.0431e+01
1.3147e+02 4.5909e+05 6.5648e+01
1.3035e+02 4.6108e+05 6.4617e+01
1.3132e+02 5.0175e+05 5.9804e+01
1.3094e+02 4.6045e+05 6.4588e+01
1.3023e+02 4.5773e+05 6.0421e+01
1.3025e+02 4.7042e+05 6.2005e+01
1.3000e+02 4.7786e+05 6.0367e+01
1.2957e+02 4.4991e+05 6.0863e+01
1.3041e+02 4.6667e+05 6.2815e+01
1.2995e+02 4.6595e+05 6.6430e+01
1.2942e+02 4.4553e+05 6.2903e+01
1.2953e+02 4.7419e+05 6.4736e+01
1.2982e+02 4.5644e+05 5.9908e+01
1.3031e+02 4.6828e+05 6.6576e+01
1.3063e+02 4.7472e+05 6.3918e+01
1.3086e+02 4.4559e+05 6.0826e+01
1.2902e+02 4.4261e+05 6.0311e+01
1.3002e+02 4.8601e+05 6.6570e+01
1.3079e+02 4.8492e+05 6.2788e+01
1.3040e+02 4.8711e+05 6.6685e+01
1.3015e+02 4.7576e+05 6.0486e+01
1.3239e+02 4.9551e+05 5.7166e+01
1.2950e+02 4.7298e+05 6.0167e+01
1.3116e+02 4.7065e+05 5.7161e+01
1.3190e+02 4.7775e+05 5.9917e+01
1.3231e+02 4.6964e+05 6.0805e+01
1.3135e+02 4.7784e+05 5.7025e+01
1.3032e+02 4.7680e+05 6.0839e+01
1.3037e+02 4.6952e+05 6.0890e+01
1.3047e+02 4.8257e+05 6.3006e+01
1.2980e+02 4.7525e+05 6.0208e+01
1.3173e+02 4.8671e+05 5.9153e+01
1.3107e+02 4.5644e+05 6.1610e+01
1.3090e+02 5.1532e+05 6.1610e+01
1.3056e+02 4.7251e+05 6.5630e+01
1.3102e+02 4.8434e+05 6.2611e+01
1.3212e+02 4.6223e+05 6.2831e+01
1.3083e+02 4.9261e+05 6.2665e+01
1.3034e+02 4.8849e+05 5.9267e+01
1.3035e+02 4.7889e+05 6.0804e+01
1.3066e+02 4.6698e+05 6.0741e+01
1.3076e+02 4.7745e+05 6.2908e+01
1.2812e+02 4.4290e+05 6.4537e+01
1.3009e+02 4.7800e+05 6.6615e+01
1.3071e+02 4.5221e+05 6.0425e+01
1.3092e+02 4.7660e+05 6.0425e+01
1.3175e+02 4.7972e+05 6.5537e+01
1.3104e+02 4.8367e+05 6.2908e+01
1.3186e+02 4.6416e+05 6.1389e+01
1.3108e+02 4.5475e+05 6.1841e+01
1.3018e+02 4.7142e+05 6.2908e+01
1.3083e+02 4.6199e+05 5.9202e+01
1.3014e+02 5.1228e+05 6.1611e+01
1.3096e+02 4.8355e+05 6.5419e+01
1.3120e+02 4.9258e+05 6.3379e+01
1.3095e+02 4.8317e+05 6.5568e+01
1.3200e+02 4.6794e+05 6.0952e+01
1.3093e+02 4.8997e+05 6.4910e+01
1.3140e+02 5.0064e+05 6.0332e+01
1.3230e+02 4.9087e+05 6.4171e+01
1.3140e+02 4.7818e+05 6.0894e+01
1.3151e+02 5.0104e+05 5.7441e+01
1.3244e+02 4.9934e+05 6.2908e+01
1.3109e+02 4.7706e+05 6.0782e+01
1.3096e+02 4.7934e+05 6.0386e+01
1.3056e+02 4.8306e+05 5.9827e+01
1.3063e+02 4.6701e+05 6.0656e+01
1.3031e+02 4.9168e+05 6.2865e+01
1.3072e+02 4.7409e+05 6.0112e+01
1.3080e+02 4.7867e+05 6.2859e+01
