# timeSteps mean_CV Std_CV
0.0000e+00 1.5221e+02 2.7199e-02
5.0000e+05 1.5186e+02 2.9942e+00
1.0000e+06 1.4609e+02 3.2408e+00
1.5000e+06 1.4263e+02 2.1467e+00
2.0000e+06 1.3779e+02 2.1643e+00
2.5000e+06 1.3400e+02 1.5236e+00
3.0000e+06 1.2737e+02 1.7405e+00
3.5000e+06 1.2402e+02 2.3523e+00
4.0000e+06 1.2099e+02 2.9070e+00
4.5000e+06 1.1805e+02 2.5014e+00
5.0000e+06 1.1498e+02 8.2644e-01
5.5000e+06 1.1426e+02 1.7901e+00
6.0000e+06 1.1276e+02 2.8124e+00
6.5000e+06 1.1354e+02 2.1024e+00
7.0000e+06 1.1281e+02 2.5771e+00
7.5000e+06 1.1150e+02 3.2108e+00
8.0000e+06 1.1058e+02 3.7073e+00
8.5000e+06 1.1099e+02 2.2121e+00
9.0000e+06 1.1006e+02 1.8881e+00
9.5000e+06 1.0936e+02 2.8532e+00
1.0000e+07 1.0867e+02 3.4799e+00
1.0500e+07 1.0861e+02 2.0962e+00
1.1000e+07 1.0858e+02 2.4845e+00
1.1500e+07 1.0925e+02 2.0899e+00
1.2000e+07 1.1011e+02 2.4448e+00
1.2500e+07 1.1080e+02 2.1572e+00
1.3000e+07 1.1068e+02 2.0400e+00
1.3500e+07 1.1096e+02 2.2528e+00
1.4000e+07 1.1054e+02 2.6617e+00
1.4500e+07 1.1038e+02 3.1559e+00
1.5000e+07 1.1021e+02 3.0858e+00
1.5500e+07 1.0955e+02 3.4904e+00
1.6000e+07 1.1051e+02 2.3618e+00
1.6500e+07 1.0966e+02 2.5270e+00
1.7000e+07 1.1037e+02 2.0489e+00
1.7500e+07 1.1017e+02 1.8767e+00
1.8000e+07 1.0965e+02 1.9970e+00
1.8500e+07 1.0923e+02 1.6465e+00
1.9000e+07 1.0982e+02 1.9568e+00
1.9500e+07 1.0977e+02 2.3870e+00
2.0000e+07 1.0938e+02 3.0548e+00
2.0500e+07 1.0851e+02 2.7677e+00
2.1000e+07 1.0821e+02 2.2192e+00
2.1500e+07 1.0844e+02 1.4229e+00
2.2000e+07 1.0842e+02 1.5347e+00
2.2500e+07 1.0819e+02 1.1834e+00
2.3000e+07 1.0886e+02 1.4144e+00
2.3500e+07 1.0820e+02 1.2170e+00
2.4000e+07 1.0878e+02 1.4878e+00
2.4500e+07 1.0887e+02 1.1096e+00
2.5000e+07 1.0902e+02 6.4293e-01
2.5500e+07 1.0887e+02 1.1476e+00
2.6000e+07 1.0907e+02 3.5969e-01
2.6500e+07 1.0920e+02 3.9764e-01
2.7000e+07 1.0964e+02 1.0312e+00
2.7500e+07 1.1033e+02 1.1025e+00
2.8000e+07 1.0981e+02 4.5463e-01
2.8500e+07 1.1044e+02 8.5414e-01
2.9000e+07 1.1053e+02 1.7910e+00
2.9500e+07 1.0962e+02 2.0660e+00
3.0000e+07 1.0932e+02 1.4073e+00
3.0500e+07 1.0939e+02 1.9289e+00
3.1000e+07 1.0889e+02 2.4474e+00
3.1500e+07 1.0912e+02 2.7229e+00
3.2000e+07 1.0823e+02 3.4858e+00
3.2500e+07 1.0860e+02 2.7335e+00
3.3000e+07 1.0778e+02 2.8369e+00
3.3500e+07 1.0779e+02 3.2374e+00
3.4000e+07 1.0835e+02 2.7043e+00
3.4500e+07 1.0777e+02 2.6185e+00
3.5000e+07 1.0818e+02 2.0308e+00
3.5500e+07 1.0840e+02 1.4045e+00
