# ColVar Mean_PMF Std_PMF
5.0000e-01 2.0981e+01 4.3588e-01
1.5000e+00 2.0981e+01 4.3588e-01
2.5000e+00 2.0981e+01 4.3588e-01
3.5000e+00 2.0981e+01 4.3588e-01
4.5000e+00 2.0981e+01 4.3588e-01
5.5000e+00 2.0981e+01 4.3588e-01
6.5000e+00 2.0981e+01 4.3588e-01
7.5000e+00 2.0981e+01 4.3588e-01
8.5000e+00 2.0981e+01 4.3588e-01
9.5000e+00 2.0981e+01 4.3588e-01
1.0500e+01 2.0981e+01 4.3588e-01
1.1500e+01 2.0981e+01 4.3588e-01
1.2500e+01 2.0981e+01 4.3588e-01
1.3500e+01 2.0981e+01 4.3588e-01
1.4500e+01 2.0981e+01 4.3588e-01
1.5500e+01 2.0981e+01 4.3588e-01
1.6500e+01 2.0981e+01 4.3588e-01
1.7500e+01 2.0981e+01 4.3588e-01
1.8500e+01 2.0981e+01 4.3588e-01
1.9500e+01 2.0981e+01 4.3588e-01
2.0500e+01 2.0981e+01 4.3588e-01
2.1500e+01 2.0981e+01 4.3588e-01
2.2500e+01 2.0981e+01 4.3588e-01
2.3500e+01 2.0981e+01 4.3588e-01
2.4500e+01 2.0981e+01 4.3588e-01
2.5500e+01 2.0981e+01 4.3588e-01
2.6500e+01 2.0981e+01 4.3588e-01
2.7500e+01 2.0981e+01 4.3588e-01
2.8500e+01 2.0981e+01 4.3588e-01
2.9500e+01 2.0981e+01 4.3588e-01
3.0500e+01 2.0981e+01 4.3588e-01
3.1500e+01 2.0981e+01 4.3588e-01
3.2500e+01 2.0981e+01 4.3588e-01
3.3500e+01 2.0981e+01 4.3588e-01
3.4500e+01 2.0981e+01 4.3588e-01
3.5500e+01 2.0981e+01 4.3588e-01
3.6500e+01 2.0981e+01 4.3588e-01
3.7500e+01 2.0981e+01 4.3588e-01
3.8500e+01 2.0981e+01 4.3588e-01
3.9500e+01 2.0981e+01 4.3588e-01
4.0500e+01 2.0981e+01 4.3588e-01
