# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 306.72541855433325964 6399.117181310273736 1615.8183307800736657 -2868.3865834418443228 241.93528466365634699 4242.2696295582618404 7129
2000000 313.78262997527735934 6546.3495922032197996 1032.8533436859024732 -3185.2545270432979123 34.269683431131284124 4183.8381872980689877 7159
3000000 308.43248285093233108 6434.7311337549526797 469.25684940770145204 -3610.4949374487791829 -65.824424485001785001 4145.5762113414821215 7174
4000000 308.81903970958114769 6442.795749486481327 24.17087788887013744 -4108.9376413439158569 -73.818975017878855738 4206.9274942506654043 7189
5000000 309.88965080113700878 6465.13157630763817 -376.87120741127125712 -4413.8757184480155047 -202.5155308654814803 4239.5200419022257847 7199
6000000 309.06779156743613157 6447.9853822693958136 -469.06930974440831505 -4526.4086286217325323 -217.85152600429083236 4275.1908448816157033 7205
7000000 315.74563256726582949 6587.3031058459919223 -525.19583316228022341 -4471.1431428896803482 -260.79391013800659493 4206.7412198654064923 7209
8000000 311.13497387012722584 6491.1123648729189881 -636.88750564442784707 -4724.2548876922310228 -235.13793147746349632 4322.505313525267411 7213
9000000 314.22087329353075802 6555.492526494897902 -758.12813411417221232 -4752.6726427006078666 -294.5090742605617038 4289.0535828469974149 7216
10000000 310.66191168421551083 6481.2430153551531475 -967.70690153265286426 -4782.4713293293216338 -361.16315153013056261 4175.9275793267988774 7223
11000000 304.98120632556896226 6362.7282230897799309 -1020.8181714069373811 -4961.293969770134936 -337.76933802778734162 4278.2451363909840438 7225
12000000 308.48219040578123895 6435.7681670395559195 -984.98342346833646843 -4918.0843088443880333 -358.37116090013375924 4291.4720462761852104 7224
13000000 306.83597104420994128 6401.4236035844387516 -998.76953180664918364 -4886.0204197941529856 -359.30297757934033598 4246.5538655668442516 7226
14000000 313.62223702059475272 6543.0033637852811808 -1010.3130471412907809 -4868.941152857578345 -401.34865201641173371 4259.9767577326983883 7233
15000000 313.44158434401356317 6539.2344630792067619 -1070.5831837481734965 -4897.7292419860050359 -419.26107288597063416 4246.4071311238021735 7236
16000000 311.17286663578374828 6491.9029098786213581 -1217.2849622578992239 -4974.5095637975427962 -416.11335675551174518 4173.3379582951547491 7236
17000000 315.68367610480407848 6586.0105274046591148 -934.75650095207447521 -4797.2428571301252305 -357.05313912813323896 4219.5394953061841079 7237
18000000 312.27293015705231483 6514.8531935970713675 -1368.5007329744405524 -5068.6143645091569852 -474.09709920973455155 4174.2107307444512116 7239
19000000 314.57595411656080842 6562.9004674673633417 -1041.0051836289017047 -4863.4193432516076427 -395.65892555415581455 4218.0730851768621505 7242
20000000 306.3329576268778851 6390.9293908242107136 -1358.8604121315433986 -5167.8844252129283632 -414.11277757822244894 4223.1367906596078683 7242
21000000 309.99937445832995309 6467.4207069028425394 -1354.3579763747713969 -5078.5522107586057245 -429.57927156756909426 4153.7735059514034219 7244
22000000 312.30373252570848308 6515.495813851440289 -1212.6265503695963162 -4978.5774302502377395 -411.31331992849163726 4177.2641998091330606 7245
23000000 309.39592233352891526 6454.8310725708952305 -1201.3313275829677877 -4989.1707124616941655 -470.03769088387014108 4257.8770757625970873 7247
24000000 308.83485329242779471 6443.1256633559250986 -1255.3817954943383484 -5008.9778053020700099 -432.84740739331948589 4186.4434172010514885 7243
25000000 309.35633167647802111 6454.0051049841604254 -1182.7531049817175699 -4941.4449345175307826 -398.16597572596953114 4156.8578052617831418 7246
26000000 308.36659776081268092 6433.356593574474573 -1434.6975203005640651 -5079.1901120425245608 -513.88830179957449218 4158.3808935415345331 7246
