# timeSteps mean_CV Std_CV
0.0000e+00 1.5332e+00 1.5995e-05
1.0000e+05 1.5365e+00 2.1592e-03
2.0000e+05 1.5364e+00 4.2952e-03
3.0000e+05 1.5364e+00 7.0711e-03
4.0000e+05 1.5357e+00 7.5443e-03
5.0000e+05 1.5347e+00 7.5240e-03
6.0000e+05 1.5346e+00 8.4574e-03
7.0000e+05 1.5334e+00 1.0340e-02
8.0000e+05 1.5317e+00 8.1592e-03
9.0000e+05 1.5321e+00 8.8480e-03
1.0000e+06 1.5302e+00 8.1602e-03
1.1000e+06 1.5318e+00 7.6267e-03
1.2000e+06 1.5292e+00 6.1469e-03
1.3000e+06 1.5302e+00 6.8606e-03
1.4000e+06 1.5296e+00 8.4298e-03
1.5000e+06 1.5307e+00 8.3317e-03
1.6000e+06 1.5320e+00 1.0473e-02
1.7000e+06 1.5324e+00 1.0038e-02
1.8000e+06 1.5332e+00 1.2323e-02
1.9000e+06 1.5335e+00 1.0198e-02
2.0000e+06 1.5337e+00 1.1441e-02
2.1000e+06 1.5364e+00 1.3384e-02
2.2000e+06 1.5348e+00 1.2910e-02
2.3000e+06 1.5319e+00 1.8045e-02
2.4000e+06 1.5325e+00 1.7701e-02
2.5000e+06 1.5312e+00 1.6560e-02
2.6000e+06 1.5291e+00 1.7801e-02
2.7000e+06 1.5279e+00 1.9307e-02
2.8000e+06 1.5315e+00 2.2553e-02
2.9000e+06 1.5332e+00 2.1614e-02
3.0000e+06 1.5325e+00 2.0992e-02
3.1000e+06 1.5318e+00 2.1307e-02
3.2000e+06 1.5317e+00 2.0017e-02
3.3000e+06 1.5288e+00 1.9220e-02
3.4000e+06 1.5268e+00 1.7347e-02
3.5000e+06 1.5251e+00 1.8418e-02
3.6000e+06 1.5248e+00 1.9201e-02
3.7000e+06 1.5268e+00 1.8668e-02
3.8000e+06 1.5279e+00 1.9328e-02
3.9000e+06 1.5274e+00 2.0181e-02
4.0000e+06 1.5273e+00 1.7552e-02
4.1000e+06 1.5274e+00 1.8312e-02
4.2000e+06 1.5266e+00 2.1485e-02
4.3000e+06 1.5278e+00 2.0863e-02
4.4000e+06 1.5292e+00 1.9782e-02
4.5000e+06 1.5296e+00 2.1457e-02
4.6000e+06 1.5289e+00 2.3082e-02
