# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 306.52731547641462839 12790.88213630006976 4149.4159431721063811 -2758.9180543605320963 -1150.0591400590365083 8058.393137591674531 14533
2000000 307.92979018895687204 12849.405105841586192 4217.2457328731779853 -2735.9351782488747631 -1010.4332969235902056 7963.6142080456429539 14536
3000000 313.47658421003683316 13080.863722988633526 4247.0587598452639213 -2738.1556697165192418 -961.01885090155496982 7946.233280463338815 14533
4000000 310.32160807182407325 12949.211743249086794 3962.1648184104687971 -2729.3236048668613876 -1169.234112418949735 7860.7225356962808291 14535
5000000 308.76883727807819469 12884.417164741056695 4100.3215514163130138 -2749.4906781860677256 -1121.0190431341325166 7970.8312727365137107 14538
6000000 308.37018828225353673 12867.782195973517446 4330.1711266214470015 -2763.8822244579932885 -1003.2868519901683158 8097.3402030696079237 14526
7000000 309.99702179748845765 12935.66729037827281 4220.0832559513728484 -2765.6872511539349944 -977.12409327882494381 7962.8946003841338097 14529
8000000 310.05140029872478635 12937.936416048138199 4276.7287152830131163 -2752.1604165700337035 -1006.0089201718005825 8034.8980520248487665 14525
9000000 304.65849684548595633 12712.899399899633863 4257.7638770210896837 -2728.9691341796383313 -1107.3755378567157095 8094.1085490574441792 14528
10000000 311.37386191702290716 12993.120570397128176 4318.6474950545216416 -2677.4419327276732474 -951.76505039160701926 7947.8544781738037273 14517
11000000 311.03759517448099814 12979.088710745318167 4285.4025445204360949 -2671.4667850827031543 -1034.6957292066340415 7991.5650588097742002 14523
12000000 311.37781500113089805 12993.285526113460946 4336.4327085499362511 -2672.3765397421079797 -996.99065060827729212 8005.7998989003226598 14521
13000000 314.03671795755695939 13104.237185591660818 4275.3346640590079915 -2799.626712719707939 -1000.0663541667519212 8075.0277309454668284 14516
14000000 313.88390674623423138 13097.860624370367077 4307.2562925085903771 -2746.7004429857079231 -904.34196144846271181 7958.2986969427602162 14522
15000000 308.90422301237094871 12890.066589385589396 4237.1651786643433297 -2649.9006353935519655 -958.9854368236819937 7846.051250881577289 14524
16000000 313.83976663739076685 13096.018730022964519 4194.4968626146728639 -2728.1364652837146423 -978.81744993596942095 7901.4507778343568134 14523
17000000 311.62209925849822412 13003.479107520333855 4174.1879752438962896 -2708.3095168058216586 -964.69507957695441291 7847.1925716266723612 14520
